Country,Indicator,Gender,Age Group,VAL,Value.1
Canada,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,92.0
Canada,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,71.4
Canada,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,23.5
Canada,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,93.9
Canada,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,75.6
Canada,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,25.9
Canada,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,93.1
Canada,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,73.8
Canada,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,24.8
Denmark,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,98.1
Denmark,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,92.0
Denmark,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,36.1
Denmark,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,97.2
Denmark,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,90.8
Denmark,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,33.1
Denmark,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,97.6
Denmark,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,91.4
Denmark,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,34.5
Germany,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,90.6
Germany,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,81.6
Germany,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,35.9
Germany,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,93.3
Germany,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,86.5
Germany,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,38.4
Germany,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,92.1
Germany,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,84.4
Germany,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,37.5
Italy,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,66.2
Italy,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,36.1
Italy,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,7.3
Italy,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,72.2
Italy,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,40.8
Italy,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,8.4
Italy,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,69.7
Italy,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,38.8
Italy,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,7.9
New Zealand,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,91.1
New Zealand,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,70.5
New Zealand,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,16.1
New Zealand,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,92.6
New Zealand,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,71.6
New Zealand,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,20.0
New Zealand,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,92.0
New Zealand,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,71.3
New Zealand,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,18.3
Norway,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,96.6
Norway,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,80.6
Norway,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,27.3
Norway,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,96.5
Norway,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,82.9
Norway,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,27.3
Norway,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,96.6
Norway,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,82.0
