Variable,Measure,Country,Value
"Vegetables consumption, daily (survey)",% of females aged 15 years old and over,France,69.0
"Vegetables consumption, daily (survey)",% of males aged 15 years old and over,France,55.6
"Vegetables consumption, daily (survey)",% of population aged 15 years old and over,France,62.6
"Vegetables consumption, daily (survey)",% of females aged 15 years old and over,Italy,63.3
"Vegetables consumption, daily (survey)",% of males aged 15 years old and over,Italy,53.3
"Vegetables consumption, daily (survey)",% of population aged 15 years old and over,Italy,58.5
"Vegetables consumption, daily (survey)",% of females aged 15 years old and over,Netherlands,36.0
"Vegetables consumption, daily (survey)",% of males aged 15 years old and over,Netherlands,30.4
"Vegetables consumption, daily (survey)",% of population aged 15 years old and over,Netherlands,33.2
"Vegetables consumption, daily (survey)",% of females aged 15 years old and over,New Zealand,95.9
"Vegetables consumption, daily (survey)",% of males aged 15 years old and over,New Zealand,94.0
"Vegetables consumption, daily (survey)",% of population aged 15 years old and over,New Zealand,95.0
"Vegetables consumption, daily (survey)",% of females aged 15 years old and over,Norway,66.0
"Vegetables consumption, daily (survey)",% of males aged 15 years old and over,Norway,49.0
"Vegetables consumption, daily (survey)",% of population aged 15 years old and over,Norway,58.0
"Vegetables consumption, daily (survey)",% of females aged 15 years old and over,Israel,86.5
"Vegetables consumption, daily (survey)",% of males aged 15 years old and over,Israel,81.8
"Vegetables consumption, daily (survey)",% of population aged 15 years old and over,Israel,84.2
"Fruits consumption, daily (survey)",% of females aged 15 years old and over,France,65.0
"Fruits consumption, daily (survey)",% of males aged 15 years old and over,France,52.3
"Fruits consumption, daily (survey)",% of population aged 15 years old and over,France,58.9
"Fruits consumption, daily (survey)",% of females aged 15 years old and over,Italy,77.6
"Fruits consumption, daily (survey)",% of males aged 15 years old and over,Italy,71.6
"Fruits consumption, daily (survey)",% of population aged 15 years old and over,Italy,74.7
"Fruits consumption, daily (survey)",% of females aged 15 years old and over,Netherlands,49.5
"Fruits consumption, daily (survey)",% of males aged 15 years old and over,Netherlands,37.8
