Variable,Measure,Country,Value
Immunisation: Influenza,% of population aged 65 years and over,Canada,60.2
Immunisation: Influenza,% of population aged 65 years and over,Denmark,52.0
Immunisation: Influenza,% of population aged 65 years and over,France,52.0
Immunisation: Influenza,% of population aged 65 years and over,Germany,38.8
Immunisation: Influenza,% of population aged 65 years and over,Italy,53.1
Immunisation: Influenza,% of population aged 65 years and over,Netherlands,61.3
Immunisation: Influenza,% of population aged 65 years and over,New Zealand,62.0
Immunisation: Influenza,% of population aged 65 years and over,Sweden,52.8
Immunisation: Influenza,% of population aged 65 years and over,United Kingdom,72.4
Immunisation: Influenza,% of population aged 65 years and over,United States,70.5
Immunisation: Influenza,% of population aged 65 years and over,Israel,59.8
Dentists consultations (in all settings),Number per capita,Australia,1.1
Dentists consultations (in all settings),Number per capita,Canada,1.5
Dentists consultations (in all settings),Number per capita,Denmark,0.8
Dentists consultations (in all settings),Number per capita,Germany,1.5
Dentists consultations (in all settings),Number per capita,Italy,1.4
Dentists consultations (in all settings),Number per capita,Netherlands,3.0
Dentists consultations (in all settings),Number per capita,Sweden,1.2
Doctors consultations (in all settings),Number per capita,Australia,7.3
Doctors consultations (in all settings),Number per capita,Canada,6.6
Doctors consultations (in all settings),Number per capita,Denmark,4.0
Doctors consultations (in all settings),Number per capita,Germany,9.8
Doctors consultations (in all settings),Number per capita,Italy,10.4
Doctors consultations (in all settings),Number per capita,Netherlands,8.8
Doctors consultations (in all settings),Number per capita,Norway,4.4
Doctors consultations (in all settings),Number per capita,Sweden,2.6
Doctors consultations (in all settings),Number per capita,Israel,8.2
"Computed Tomography exams, total",Number,Australia,3573711.0
"Computed Tomography exams, total",Per 1 000 population,Australia,140.9
"Computed Tomography exams, total",Per scanner,Australia,2020.2
"Computed Tomography exams, total",Number,Canada,5419821.0
"Computed Tomography exams, total",Per 1 000 population,Canada,144.2
"Computed Tomography exams, total",Per scanner,Canada,9872.2
"Computed Tomography exams, total",Number,France,13384683.0
"Computed Tomography exams, total",Per 1 000 population,France,199.0
"Computed Tomography exams, total",Per scanner,France,10953.1
"Computed Tomography exams, total",Number,Italy,5809718.0
"Computed Tomography exams, total",Per 1 000 population,Italy,97.3
"Computed Tomography exams, total",Per scanner,Italy,2667.5
"Computed Tomography exams, total",Number,Netherlands,1923824.0
"Computed Tomography exams, total",Per 1 000 population,Netherlands,110.9
"Computed Tomography exams, total",Per scanner,Netherlands,7456.7
"Computed Tomography exams, total",Number,Norway,459547.0
"Computed Tomography exams, total",Per 1 000 population,Norway,85.9
"Computed Tomography exams, total",Per scanner,Norway,3259.2
"Computed Tomography exams, total",Number,United States,91400000.0
"Computed Tomography exams, total",Per 1 000 population,United States,278.5
"Computed Tomography exams, total",Per scanner,United States,6196.6
"Computed Tomography exams, total",Number,Israel,1438961.0
"Computed Tomography exams, total",Per 1 000 population,Israel,158.9
"Computed Tomography exams, total",Per scanner,Israel,16351.8
"Magnetic Resonance Imaging exams, total",Number,Australia,1301833.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,Australia,51.3
"Magnetic Resonance Imaging exams, total",Per scanner,Australia,3471.6
"Magnetic Resonance Imaging exams, total",Number,Canada,2330223.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,Canada,62.0
"Magnetic Resonance Imaging exams, total",Per scanner,Canada,6164.6
"Magnetic Resonance Imaging exams, total",Number,France,8276562.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,France,123.1
"Magnetic Resonance Imaging exams, total",Per scanner,France,8004.4
"Magnetic Resonance Imaging exams, total",Number,Italy,4503685.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,Italy,75.4
"Magnetic Resonance Imaging exams, total",Per scanner,Italy,2495.1
"Magnetic Resonance Imaging exams, total",Number,Netherlands,1031353.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,Netherlands,59.5
"Magnetic Resonance Imaging exams, total",Per scanner,Netherlands,4297.3
"Magnetic Resonance Imaging exams, total",Number,Norway,623356.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,Norway,116.6
"Magnetic Resonance Imaging exams, total",Per scanner,Norway,6702.8
"Magnetic Resonance Imaging exams, total",Number,United States,42000000.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,United States,128.0
"Magnetic Resonance Imaging exams, total",Per scanner,United States,3163.8
"Magnetic Resonance Imaging exams, total",Number,Israel,429872.0
"Magnetic Resonance Imaging exams, total",Per 1 000 population,Israel,47.5
"Magnetic Resonance Imaging exams, total",Per scanner,Israel,9345.0
"Computed Tomography exams, in hospitals",Number,Australia,351130.0
"Computed Tomography exams, in hospitals",Per 1 000 population,Australia,13.8
"Computed Tomography exams, in hospitals",Number,Denmark,1103299.0
"Computed Tomography exams, in hospitals",Per 1 000 population,Denmark,189.8
"Computed Tomography exams, in hospitals",Per scanner,Denmark,4715.0
"Computed Tomography exams, in hospitals",Number,France,8249034.0
"Computed Tomography exams, in hospitals",Per 1 000 population,France,122.7
"Computed Tomography exams, in hospitals",Per scanner,France,11393.7
"Computed Tomography exams, in hospitals",Number,Germany,6562471.0
"Computed Tomography exams, in hospitals",Per 1 000 population,Germany,79.0
"Computed Tomography exams, in hospitals",Per scanner,Germany,4206.7
"Computed Tomography exams, in hospitals",Number,Netherlands,1915694.0
"Computed Tomography exams, in hospitals",Per 1 000 population,Netherlands,110.4
"Computed Tomography exams, in hospitals",Per scanner,Netherlands,7851.2
"Computed Tomography exams, in hospitals",Number,Switzerland,1034229.0
"Computed Tomography exams, in hospitals",Per 1 000 population,Switzerland,120.6
"Computed Tomography exams, in hospitals",Per scanner,Switzerland,4722.5
"Computed Tomography exams, in hospitals",Number,United Kingdom,6897587.6
"Computed Tomography exams, in hospitals",Per 1 000 population,United Kingdom,103.3
"Computed Tomography exams, in hospitals",Per scanner,United Kingdom,11790.7
"Computed Tomography exams, in hospitals",Number,United States,71300000.0
"Computed Tomography exams, in hospitals",Per 1 000 population,United States,217.2
"Computed Tomography exams, in hospitals",Per scanner,United States,7650.2
"Computed Tomography exams, in hospitals",Number,Israel,1206053.0
"Computed Tomography exams, in hospitals",Per 1 000 population,Israel,133.2
