Variable,Measure,Country,Value
Medical graduates,Number,Australia,4022.0
Dentists graduates,Number,Australia,1022.0
Pharmacists graduates,Number,Australia,2272.0
Midwives graduates,Number,Australia,1388.0
Nursing graduates,Number,Australia,27620.0
Professional nursing graduates,Number,Australia,16797.0
Associate Professional nursing graduates,Number,Australia,10823.0
"Computed Tomography scanners, total",Number,Australia,1769.0
"Magnetic Resonance Imaging units, total",Number,Australia,375.0
"Positron Emission Tomography (PET) scanners, total",Number,Australia,95.0
"Gamma cameras, total",Number,Australia,472.0
"Mammographs, total",Number,Australia,590.0
"Radiation therapy equipment, total",Number,Australia,291.0
Medical graduates,Number,Canada,2856.0
Dentists graduates,Number,Canada,553.0
Pharmacists graduates,Number,Canada,1256.0
Midwives graduates,Number,Canada,150.0
Hospitals,Number,Canada,709.0
General hospitals,Number,Canada,551.0
Total hospital beds,Number,Canada,94748.0
Curative (acute) care beds,Number,Canada,74077.0
Psychiatric care beds,Number,Canada,13714.0
Long-term care beds,Number,Canada,16062.0
Other hospital beds,Number,Canada,175.0
Beds in publicly owned hospitals,Number,Canada,94120.0
Beds in for-profit privately owned hospitals,Number,Canada,628.0
"Computed Tomography scanners, total",Number,Canada,549.0
"Computed Tomography scanners, in hospitals",Number,Canada,527.0
"Computed Tomography scanners, in ambulatory sector",Number,Canada,22.0
"Magnetic Resonance Imaging units, total",Number,Canada,378.0
"Magnetic Resonance Imaging units, in hospitals",Number,Canada,313.0
"Magnetic Resonance Imaging units, in ambulatory sector",Number,Canada,65.0
"Positron Emission Tomography (PET) scanners, total",Number,Canada,57.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Canada,50.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,Canada,7.0
"Gamma cameras, total",Number,Canada,576.0
"Gamma cameras, in hospitals",Number,Canada,523.0
"Gamma cameras, in ambulatory sector",Number,Canada,53.0
"Mammographs, total",Number,Canada,674.0
"Radiation therapy equipment, total",Number,Canada,108.0
"Radiation therapy equipment, in hospitals",Number,Canada,108.0
"Radiation therapy equipment, in ambulatory sector",Number,Canada,0.0
Publicly owned hospitals,Number,Canada,702.0
For-profit privately owned hospitals,Number,Canada,7.0
Total hospital beds,Number,Denmark,15076.0
Curative (acute) care beds,Number,Denmark,14476.0
Psychiatric care beds,Number,Denmark,3002.0
Long-term care beds,Number,Denmark,257.0
Other hospital beds,Number,Denmark,0.0
Beds in publicly owned hospitals,Number,Denmark,14129.0
Beds in not-for-profit privately owned hospitals,Number,Denmark,628.0
Beds in for-profit privately owned hospitals,Number,Denmark,319.0
"Computed Tomography scanners, total",Number,Denmark,236.0
"Computed Tomography scanners, in hospitals",Number,Denmark,234.0
"Computed Tomography scanners, in ambulatory sector",Number,Denmark,2.0
"Positron Emission Tomography (PET) scanners, total",Number,Denmark,48.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Denmark,48.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,Denmark,0.0
"Gamma cameras, total",Number,Denmark,85.0
"Gamma cameras, in hospitals",Number,Denmark,85.0
"Gamma cameras, in ambulatory sector",Number,Denmark,0.0
"Mammographs, total",Number,Denmark,88.0
"Mammographs, in hospitals",Number,Denmark,82.0
"Mammographs, in ambulatory sector",Number,Denmark,6.0
"Radiation therapy equipment, total",Number,Denmark,69.0
"Radiation therapy equipment, in hospitals",Number,Denmark,69.0
"Radiation therapy equipment, in ambulatory sector",Number,Denmark,0.0
Midwives graduates,Number,France,864.0
Hospitals,Number,France,3008.0
General hospitals,Number,France,1883.0
Total hospital beds,Number,France,392593.0
Curative (acute) care beds,Number,France,201971.0
Psychiatric care beds,Number,France,54991.0
Long-term care beds,Number,France,30950.0
Other hospital beds,Number,France,54991.0
Beds in publicly owned hospitals,Number,France,241345.0
Beds in not-for-profit privately owned hospitals,Number,France,56385.0
Beds in for-profit privately owned hospitals,Number,France,94863.0
